pid,bc,dir,yds,succ,kne
695245,AP-0700,RG,3,0,0
695246,AP-0700,RT,2,0,0
695265,AR-1300,NL,-1,0,1
695267,EL-0010,MD,5,1,0
695268,EL-0010,LT,-5,0,0
695273,AP-0700,LG,10,1,0
695274,AT-0350,RE,26,1,0
695275,AP-0700,RE,5,1,0
695276,AP-0700,MD,3,1,0
695277,AP-0700,MD,3,1,0
695280,EL-0010,RE,0,0,0
695284,AP-0700,MD,6,1,0
695286,AP-0700,RE,3,0,0
695287,TB-2650,RE,2,0,0
695289,EL-0010,LT,4,1,0
695290,EL-0010,LG,4,1,0
695298,JS-6200,RT,2,0,0
695300,JS-6200,LT,7,1,0
695301,JS-6200,LE,-1,0,0
695304,JS-6200,MD,3,0,0
695305,JS-6200,RE,4,0,0
695306,AR-1300,MD,11,1,0
695311,JM-3450,RE,10,1,0
695312,JM-3450,MD,6,1,0
695313,JM-3450,LT,1,0,0
695314,JM-3450,RE,-2,0,0
695322,RC-1500,RE,3,0,0
695335,TB-2650,MD,0,0,0
695336,AP-0700,LE,5,1,0
695337,AP-0700,MD,2,0,0
695350,AB-1975,MD,4,1,0
695357,AS-1600,MD,5,1,0
695358,SW-0350,MD,2,1,0
695359,AW-1650,RE,9,1,0
695360,CW-1450,MD,1,1,0
695365,AB-1975,LG,0,0,0
695366,AB-1975,RG,2,0,0
695368,SW-0350,RG,5,1,0
695371,AB-1975,MD,2,0,0
695373,AB-1975,RT,4,1,0
695376,AB-1975,LG,2,0,0
695377,AB-1975,LG,3,0,0
695379,AB-1975,LE,0,0,0
695380,AB-1975,MD,3,0,0
695383,CW-1450,LG,3,0,0
695384,CW-1450,RG,3,0,0
695388,AH-3875,RT,0,0,0
695396,SW-0350,LG,1,0,0
695397,CW-1450,MD,6,1,0
695398,AW-1650,LE,2,0,0
695402,JP-4187,MD,2,0,0
695403,AB-1975,RT,49,1,0
695404,JG-3850,RT,8,1,0
695406,AB-1975,MD,3,1,0
695407,JW-1100,RG,-1,0,0
695410,CW-1450,MD,2,0,0
695413,JG-3850,LT,1,0,0
695415,CW-1450,LG,5,1,0
695416,SW-0350,RG,23,1,0
695418,SW-0350,RG,3,1,0
695419,CW-1450,LE,0,0,0
695421,BH-1900,NL,-1,0,1
695423,AB-1975,RT,4,1,0
695426,AB-1975,RG,3,0,0
695427,AB-1975,LT,5,1,0
695430,AB-1975,RT,13,1,0
695431,AB-1975,RT,0,0,0
695436,AS-1600,LE,11,1,0
695437,SW-0350,LT,1,0,0
695443,SW-0350,LG,12,1,0
695445,SW-0350,RG,2,0,0
695453,SW-0350,LG,6,1,0
695454,AS-1600,LE,5,1,0
695455,SW-0350,RG,-1,0,0
695457,CW-1450,MD,6,1,0
695458,SW-0350,MD,0,0,0
695459,SW-0350,LT,-2,0,0
695460,SW-0350,RT,5,1,0
695466,JG-3850,MD,3,0,0
695471,JG-3850,RG,3,0,0
695475,SW-0350,RG,5,1,0
695476,AS-1600,LE,3,1,0
695477,AS-1600,LE,3,1,0
695478,SW-0350,LT,3,1,0
695483,SW-0350,RG,2,0,0
695484,KD-0450,RG,1,0,0
695488,AB-1975,RT,2,0,0
695492,KD-0450,RE,5,1,0
695493,KD-0450,RT,2,0,0
695494,KD-0450,RT,4,1,0
695495,CD-0300,NL,-1,0,1
695496,CD-0300,NL,-1,0,1
695499,FT-0300,LT,-1,0,0
695503,JH-4025,LG,0,0,0
695507,FT-0300,LT,9,1,0
695513,JH-4025,RT,-1,0,0
695520,JH-4025,RE,-1,0,0
695524,FT-0300,RG,9,1,0
695525,FT-0300,MD,-1,0,0
695527,FT-0300,RT,6,1,0
695528,JT-3000,MD,14,1,0
695529,JT-3000,RE,9,1,0
695530,FT-0300,MD,5,1,0
695531,JT-3000,RT,0,0,0
695532,JT-3000,RG,4,0,0
695535,JH-4025,LT,2,0,0
695539,FT-0300,LE,2,0,0
695543,AM-1150,MD,0,0,0
695545,GB-0350,RG,14,0,0
695547,FT-0300,LT,4,1,0
695549,FT-0300,LT,1,0,0
695553,JH-4025,RT,-3,0,0
695556,FT-0300,RT,4,1,0
695557,JT-3000,RG,8,1,0
695558,JT-3000,RT,0,0,0
695574,FT-0300,RG,0,0,0
695578,AM-1150,NL,-1,0,1
695580,JH-4025,LT,2,0,0
695584,JH-4025,MD,38,1,0
695586,MB-4550,LE,44,1,0
695587,JT-3000,RG,4,1,0
695588,JT-3000,RT,-1,0,0
695592,GB-0350,RG,0,0,0
695594,GB-0350,MD,-1,0,0
695598,FT-0300,LT,7,1,0
695599,FT-0300,RT,5,1,0
695600,FT-0300,RG,0,0,0
695602,FT-0300,RG,0,0,0
695608,GB-0350,MD,12,1,0
695609,GB-0350,LG,2,0,0
695613,GB-0350,MD,1,0,0
695617,JT-3000,RT,2,0,0
695623,JH-4025,RG,3,1,0
695624,JH-4025,RG,1,1,0
695628,JT-3000,LE,25,1,0
695629,FT-0300,LE,4,1,0
695635,RB-4670,LG,4,1,0
695636,AM-1150,LE,6,1,0
695638,AM-1150,MD,1,0,0
695641,JH-4025,MD,1,1,0
695642,JH-4025,RG,2,0,0
695648,JT-3000,RE,0,0,0
695655,AM-1150,LT,3,0,0
695661,JH-4025,RG,6,0,0
695668,FT-0300,LT,4,0,0
695675,AP-0700,LG,-1,0,0
695678,AP-0700,RG,2,0,0
695683,TB-2650,MD,2,1,0
695684,AP-0700,MD,0,0,0
695686,AP-0700,RT,-2,0,0
695688,CM-2280,LT,3,0,0
695691,JR-3700,MD,0,0,0
695692,AP-0700,RE,3,0,0
695693,AP-0700,RT,6,1,0
695694,AP-0700,RG,2,1,0
695695,AP-0700,LE,-2,0,0
695698,AP-0700,MD,1,0,0
695699,AP-0700,MD,2,0,0
695703,CM-2280,MD,11,1,0
695704,CM-2280,LT,5,1,0
695705,CM-2280,LG,-2,0,0
695707,CM-2280,MD,6,1,0
695709,RW-3850,MD,2,0,0
695711,AP-0700,LE,4,1,0
695712,AP-0700,LT,2,0,0
695716,CM-2280,LE,1,0,0
695717,RW-3850,LE,11,1,0
695718,CM-2280,MD,2,0,0
695723,AP-0700,LE,13,1,0
695725,AP-0700,RE,1,0,0
695730,CM-2280,MD,2,0,0
695732,FJ-0100,MD,2,0,0
695736,TB-2650,NL,-1,0,1
695737,TB-2650,NL,-1,0,1
695740,CM-2280,LG,0,0,0
695742,RW-3850,LE,4,1,0
695745,CM-2280,RT,8,1,0
695746,CM-2280,RT,1,0,0
695747,CM-2280,MD,-2,0,0
695750,AP-0700,LG,3,0,0
695751,AP-0700,RE,-7,0,0
695757,CM-2280,RG,13,0,0
695759,AP-0700,RE,3,0,0
695761,AP-0700,MD,2,0,0
695762,SD-0537,LE,6,1,0
695764,AP-0700,MD,3,0,0
