uid,pid,ptm,pen,desc,cat,pey,act
62646,695824,GB,DG-1600,Illegal Block Above the Waist,7,9,A
62647,695827,GB,JT-3350,False Start,1,4,A
62648,695838,WAS,KC-2350,Delay of Game,3,5,A
62649,695853,WAS,CW-2300,Offensive Holding,2,10,A
62650,695865,WAS,RJ-0550,12 On-field,3,5,A
62651,695872,WAS,TM-3450,12 On-field,3,0,D
62652,695872,WAS,TM-3450,Defensive Offside,4,0,D
62653,695886,WAS,RK-0500,Defensive Offside,4,5,A
62654,695944,WAS,RK-0500,Encroachment,4,5,A
62655,695958,WAS,QD-0400,Defensive Pass Interference,5,20,A
62656,695976,GB,DJ-2350,Roughing the Passer,6,10,A
62657,695979,WAS,JR-1150,False Start,1,5,A
62658,696036,KC,DS-4050,Illegal Use of Hands,2,0,D
62659,696045,NE,DA-0900,Unnecessary Roughness,6,2,A
62660,696047,NE,BL-0100,False Start,1,5,A
62661,696053,KC,DM-4030,Roughing the Passer,6,15,A
62662,696060,NE,NE-0250,Offside on Free Kick,3,5,A
62663,696071,KC,AS-1600,Delay of Game,3,5,A
62664,696080,KC,JR-1500,Offensive Holding,2,10,A
62665,696082,NE,JC-3518,Defensive Holding,5,5,A
62666,696105,NE,AH-3050,Illegal Use of Hands,5,5,A
62667,696121,KC,DC-3200,Delay of Game,3,5,A
62668,696154,KC,EF-0050,False Start,1,5,A
62669,696156,NE,LR-0600,Defensive Pass Interference,5,2,A
62670,696170,GB,NP-0020,Offensive Holding,2,10,A
62671,696171,GB,JS-3500,False Start,1,5,A
62672,696204,GB,BB-3700,Illegal Shift,3,0,O
62673,696204,ARI,JB-0100,12 On-field,3,0,O
62674,696204,ARI,MG-0925,Illegal Use of Hands,5,0,O
62675,696209,GB,JS-3500,Ineligible Downfield Pass,3,5,A
62676,696212,ARI,PP-0400,Taunting,6,0,D
62677,696212,ARI,FR-0200,Illegal Use of Hands,5,6,A
62678,696262,ARI,CP-0500,Delay of Game,3,5,A
62679,696263,GB,BR-0100,Unnecessary Roughness,6,15,A
62680,696266,ARI,LF-0200,Illegal Blindside Block,8,15,A
62681,696268,GB,DJ-2350,12 On-field,3,5,A
62682,696274,GB,JK-2200,False Start,1,5,A
62683,696280,GB,MB-5100,Defensive Holding,5,5,A
62684,696322,GB,RR-1050,Illegal Motion,3,5,A
62685,696356,CAR,MO-0200,False Start,1,5,A
62686,696394,SEA,AB-0120,Offensive Holding,2,10,A
62687,696408,CAR,CJ-2300,Unnecessary Roughness,6,15,A
62688,696474,CAR,DM-0650,Illegal Formation,3,5,A
62689,696480,SEA,TL-1025,False Start,1,5,A
62690,696484,SEA,RW-3850,Delay of Game,3,5,A
62691,696485,SEA,AB-0120,Illegal Formation,3,0,D
62692,696516,PIT,AV-0350,False Start,1,4,A
62693,696578,PIT,WG-0500,Defensive Pass Interference,5,9,A
62694,696611,DEN,BR-1050,Defensive Pass Interference,5,12,A
62695,696614,PIT,MG-0500,Face Mask,6,15,A
62696,696618,PIT,JB-3275,Delay of Game,3,5,A
62697,696624,DEN,KW-0850,Illegal Motion,3,5,A
62698,696625,DEN,BM-0330,Illegal Contact,5,0,D
62699,696630,DEN,MS-0525,Offensive Holding,2,10,A
62700,696634,PIT,JH-2100,Neutral Zone,4,5,A
62701,696655,DEN,TW-0600,Defensive Pass Interference,5,22,A
62702,696664,DEN,AT-0100,Defensive Holding,5,0,D
62703,696676,NE,LR-0600,Defensive Pass Interference,5,14,A
62704,696691,NE,BS-4350,Unnecessary Roughness,6,15,A
62705,696694,NE,SC-0400,Ineligible Downfield Kick,3,5,A
62706,696697,DEN,TW-0600,Unnecessary Roughness,6,1,A
62707,696717,NE,RG-2200,False Start,1,5,A
62708,696720,DEN,DT-1950,Illegal Contact,5,5,A
62709,696734,DEN,KW-0850,Unsportsmanlike Conduct,6,15,A
62710,696738,DEN,MG-0250,False Start,1,5,A
62711,696744,NE,JK-1650,False Start,1,5,A
62712,696781,NE,DF-0950,False Start,1,4,A
62713,696806,DEN,SK-0200,Unnecessary Roughness,6,15,A
62714,696818,DEN,DT-0900,False Start,1,5,A
62715,696825,DEN,BM-0330,Defensive Holding,5,5,A
62716,696828,NE,MC-0400,False Start,1,5,A
62717,696860,ARI,BM-0360,False Start,1,5,A
62718,696871,ARI,CC-0200,Encroachment,4,5,A
62719,696902,CAR,KS-0850,Neutral Zone,4,5,A
62720,696903,CAR,MA-0300,Face Mask,6,15,A
62721,696916,ARI,PP-0400,Defensive Holding,5,5,A
62722,696922,ARI,,Illegal Formation,3,5,A
62723,696934,ARI,CC-0200,Neutral Zone,4,5,A
62724,696978,CAR,CF-0500,Defensive Holding,5,5,A
62725,696979,ARI,JB-6750,Face Mask,6,15,A
62726,696985,CAR,MO-0200,False Start,1,5,A
