uid,gid,fpid,tname,drvn,obt,qtr,min,sec,yfog,plays,succ,rfd,pfd,ofd,ry,ra,py,pa,pc,peyf,peya,net,res
99236,4240,694354,OAK,1,KOFF,1,3,56,25,6,3,0,2,0,7,3,19,3,2,0,0,26,PUNT
99237,4240,694361,KC,2,PUNT,1,6,5,13,12,8,5,1,0,56,7,26,5,3,5,0,87,TD
99238,4240,694376,OAK,2,KOFF,1,2,11,62,5,3,0,1,0,3,2,29,2,2,0,5,27,FG
99239,4240,694383,KC,3,KOFF,2,5,27,16,8,2,1,1,0,26,6,14,2,1,0,0,40,PUNT
99240,4240,694392,OAK,3,PUNT,2,1,46,7,5,1,0,1,0,1,1,11,4,2,0,0,12,PUNT
99241,4240,694398,KC,4,PUNT,2,0,7,31,1,0,0,0,0,0,0,0,1,0,0,0,0,INT
99242,4240,694399,OAK,4,INT,2,2,46,54,5,3,1,0,0,16,3,6,2,1,0,0,22,INT
99243,4240,694404,KC,5,INT,2,0,7,20,1,0,0,0,0,0,0,0,1,0,15,0,0,INT
99244,4240,694407,KC,6,KOFF,2,1,30,55,3,0,0,0,0,6,2,0,1,0,0,0,6,PUNT
99245,4240,694411,OAK,5,PUNT,2,1,41,9,6,2,0,1,0,2,1,23,5,2,0,5,20,PUNT
99246,4240,694419,KC,7,PUNT,2,0,16,25,1,0,0,0,0,-1,1,0,0,0,0,0,-1,ENDQ
99247,4240,694421,OAK,6,KOFF,3,1,6,29,3,0,0,0,0,1,1,0,2,0,0,0,1,PUNT
99248,4240,694425,KC,8,PUNT,3,2,52,24,5,3,1,0,0,1,2,15,3,2,9,0,25,PUNT
99249,4240,694432,OAK,7,PUNT,3,2,3,10,3,0,0,0,0,6,1,-9,2,0,0,0,-3,BLPU
99250,4240,694437,KC,9,BLPU,3,1,56,47,4,3,0,2,0,11,2,32,2,2,15,5,53,TD
99251,4240,694444,OAK,8,KOFF,3,3,37,22,6,1,0,1,0,2,2,18,4,3,0,0,20,PUNT
99252,4240,694451,KC,10,PUNT,3,3,8,29,6,3,0,1,0,9,2,-3,4,1,5,0,11,PUNT
99253,4240,694459,OAK,9,PUNT,3,3,13,22,6,1,0,1,0,0,0,17,6,3,0,0,17,PUNT
99254,4240,694466,KC,11,PUNT,4,8,50,20,13,9,4,0,0,61,11,1,2,2,0,10,52,DWNS
99255,4240,694480,OAK,10,DWNS,4,1,17,28,5,3,1,1,1,10,2,33,3,2,29,0,72,TD
99256,4240,694488,KC,12,KOFF,4,0,24,53,3,1,0,0,0,5,3,0,0,0,0,0,5,PUNT
99257,4240,694492,OAK,11,PUNT,4,1,34,11,6,1,0,1,1,0,0,10,6,4,11,0,21,ENDQ
99258,4241,694500,DEN,1,KOFF,1,0,31,20,2,2,0,1,0,0,0,80,2,2,0,0,80,TD
99259,4241,694504,SD,1,KOFF,1,4,19,20,10,5,1,2,0,21,4,27,5,3,0,0,48,FG
99260,4241,694515,DEN,2,KOFF,1,1,49,20,5,2,2,1,0,28,4,46,1,1,0,0,74,FUM
99261,4241,694520,SD,2,FUM,1,1,29,5,3,1,0,0,1,4,2,0,1,0,0,0,4,PUNT
99262,4241,694524,DEN,3,PUNT,1,2,6,35,6,3,0,1,0,6,1,17,5,2,0,0,23,INT
99263,4241,694530,SD,3,INT,1,3,15,37,6,3,1,0,0,8,4,8,2,1,0,0,16,PUNT
99264,4241,694537,DEN,4,PUNT,1,2,11,20,6,3,1,2,0,20,2,31,4,2,0,0,51,FUM
99265,4241,694543,SD,4,FUM,2,1,4,29,3,0,0,0,1,4,1,0,2,0,0,0,4,PUNT
99266,4241,694547,DEN,5,PUNT,2,3,53,23,6,2,0,1,0,6,3,20,3,3,0,0,26,PUNT
99267,4241,694554,SD,5,PUNT,2,2,21,11,3,1,0,0,0,0,1,2,2,1,0,5,-3,PUNT
